"","1","2","3","4","5","6","7","8","9","10"
"'venezuela",2,0,0,0,0,0,0,0,0,0
"13.29gmt",1,0,0,0,0,0,0,0,0,0
"19.07gmt",1,0,0,0,0,0,0,0,0,0
"2019",3,0,1,14,3,1,1,3,4,1
"21.",1,0,0,0,0,0,0,0,0,0
"27,",1,0,0,0,0,0,0,0,0,0
"28-year-old",1,0,0,0,0,0,0,0,0,0
"63,",1,0,0,0,0,0,0,0,0,0
"75,",1,0,0,0,0,0,0,0,0,0
"90%",1,0,0,0,0,0,0,0,0,0
"[shit",1,0,0,0,0,0,0,0,0,0
"abandoned",1,0,0,0,0,0,0,0,0,0
"abrahan",1,0,0,0,0,0,0,0,0,0
"account",2,5,0,1,2,0,0,2,2,0
"accused",2,0,0,1,0,1,1,0,0,1
"across",3,0,0,0,0,0,0,0,0,1
"acted",1,0,0,0,0,0,0,0,0,0
"action",2,0,0,0,0,0,0,0,0,0
"activist",1,0,0,0,0,0,0,0,0,0
"additional",1,0,0,0,1,0,0,0,0,0
"addressing",1,0,0,0,2,0,0,0,0,1
"admitted",2,0,0,0,0,0,0,0,2,0
"advertise",1,0,0,0,1,1,1,1,1,1
"affiliated",1,0,0,0,1,0,0,1,1,0
"africa",2,0,0,4,2,5,5,2,2,5
"after",1,0,0,2,0,7,0,1,3,2
"again.",1,0,0,0,0,0,0,0,0,0
"against",8,0,0,3,0,4,3,0,1,3
"aid",2,3,2,0,1,3,0,0,0,0
"aid,",1,0,0,0,0,0,0,0,0,0
"all",6,1,0,14,3,5,3,3,5,10
"all-powerful",1,0,0,0,0,0,0,0,1,0
"alone",1,0,0,0,1,0,0,0,0,0
"already",2,0,0,0,3,0,0,0,0,0
"also",2,0,0,2,1,3,0,0,2,1
"americas",3,0,0,4,3,3,3,3,3,3
"amigo:",1,0,0,0,0,0,0,0,3,0
"and",26,10,0,19,15,53,8,0,23,37
"anger",1,0,0,0,0,0,0,0,0,0
"anxiety",1,0,0,0,0,0,0,0,0,0
"any",1,0,0,3,0,0,0,0,0,1
"app",1,0,0,0,1,0,0,1,1,0
"archive",3,0,0,0,3,0,0,3,3,0
"are",6,2,0,4,7,10,3,0,4,14
"areas",1,0,0,0,0,0,0,0,0,0
"armed",2,0,0,0,0,2,0,0,0,2
"around",1,0,0,0,1,1,0,0,1,0
"art",1,0,0,0,1,0,0,1,1,0
"asia",2,0,0,4,2,3,3,2,2,3
"asked",1,0,0,1,0,1,0,0,0,1
"assembly,",1,0,0,0,0,1,1,0,2,1
"atmosphere",1,0,0,0,0,0,0,0,0,0
"australia",4,0,0,4,4,3,3,4,4,3
"avenida",1,0,0,0,0,0,0,0,0,0
"back",3,0,0,0,2,2,0,2,2,0
