,1,2,3,4,5,6,7,8,9,10
venezuela,13,2,0,20,6,48,3,4,8,14
maduro,19,0,0,14,6,27,4,5,20,14
function,0,0,0,0,0,0,15,0,0,60
president,2,0,0,28,2,12,3,2,5,8
video,1,2,0,6,1,12,11,4,3,18
containerid,0,0,0,0,0,0,11,0,0,44
have,14,3,0,11,2,7,6,0,3,7
all,6,1,0,14,3,5,3,3,5,10
edition,9,0,0,2,9,4,4,9,9,4
international,4,0,0,2,3,16,8,4,3,9
typeof,0,0,0,0,0,11,14,0,0,23
caracas,7,0,0,0,4,33,0,0,1,0
crisis,1,0,0,0,1,40,0,0,1,2
world,4,0,2,3,4,8,7,4,4,7
more,4,0,0,3,8,9,4,2,4,8
news,7,1,0,2,7,6,3,6,7,3
january,0,0,0,10,1,25,3,0,2,1
opposition,7,0,0,5,6,15,1,1,4,2
they,5,0,0,8,7,5,2,0,6,8
said,8,0,0,5,3,6,2,0,8,8
guaido,0,0,0,14,0,15,0,0,0,11
caption,0,0,0,0,0,40,0,0,0,0
hide,0,0,0,0,0,40,0,0,0,0
videopinner,0,0,0,0,0,0,8,0,0,32
his,3,0,0,5,4,13,1,0,9,4
u.s.,0,0,0,4,0,11,11,0,0,11
share,10,0,0,0,10,0,0,3,10,0
new,0,8,0,2,0,3,3,0,0,17
united,0,0,0,10,1,7,6,0,3,6
people,2,0,0,2,4,8,5,0,2,9
support,3,0,0,4,2,9,2,2,7,3
juan,5,0,0,10,5,3,1,2,3,2
venezuela's,0,0,0,2,0,16,4,0,0,9
australia,4,0,0,4,4,3,3,4,4,3
guaid,7,0,0,0,10,0,3,2,6,0
guardian,7,0,0,0,7,0,0,7,7,0
switch,7,0,0,0,7,0,0,7,7,0
africa,2,0,0,4,2,5,5,2,2,5
military,5,0,0,0,0,14,1,0,0,7
this,3,0,0,2,7,4,1,0,4,5
states,0,0,0,12,0,4,3,0,2,5
americas,3,0,0,4,3,3,3,3,3,3
food,2,1,0,4,1,6,4,1,2,4
nicols,3,0,0,12,2,0,0,4,4,0
their,3,0,0,4,2,5,2,0,6,3
else,0,0,0,0,0,5,7,0,0,13
twitter,7,0,0,1,4,1,1,3,4,3
who,6,0,0,4,3,4,0,0,6,1
your,0,14,0,3,0,3,2,0,0,2
facebook,6,0,0,0,4,2,2,3,4,2
venezuelan,1,0,0,2,0,13,1,0,0,6
against,8,0,0,3,0,4,3,0,1,3
cities,4,0,0,2,3,3,2,3,3,2
europe,2,0,0,4,2,3,3,2,2,4
live,1,0,3,8,0,3,3,0,0,4
national,0,0,0,8,0,9,2,0,1,2
will,0,0,0,10,2,3,0,0,5,2
asia,2,0,0,4,2,3,3,2,2,3
east,2,0,0,4,2,3,3,2,2,3
middle,2,0,0,4,2,3,3,2,2,3
void,0,0,0,0,0,7,7,0,0,7
media,1,0,0,4,1,4,4,1,1,4
search,5,0,0,0,5,0,0,5,5,0
sign,3,6,0,0,4,2,0,2,3,0
tech,1,0,0,4,1,4,4,1,1,4
work,1,0,0,4,1,4,4,1,1,4
maduro's,0,0,0,5,0,7,2,0,0,6
undefined,0,0,0,0,0,0,4,0,0,16
contentid,0,0,0,0,0,0,4,0,0,16
null,0,0,0,0,0,0,4,0,0,16
true,0,0,0,0,0,0,4,0,0,16
email,2,12,0,0,2,0,0,1,2,0
government,1,0,0,6,1,6,1,0,2,2
political,2,0,0,4,0,2,1,0,7,3
football,2,0,0,4,2,2,2,2,2,2
said,2,0,0,5,1,5,1,0,3,1
use,0,2,0,1,0,5,5,0,0,5
jobs,4,0,0,0,4,0,0,4,5,0
sport,2,0,0,0,2,3,3,2,2,3
videos,1,0,0,2,1,2,3,1,1,6
espaol,0,0,3,2,0,4,4,0,0,4
protests,0,0,0,2,3,6,2,0,2,2
culture,2,0,0,2,2,2,2,2,2,2
leader,2,0,0,5,2,2,1,0,3,1
maduro,3,0,0,0,2,2,1,0,8,0
maduros,3,0,0,2,4,0,0,0,7,0
shows,0,0,0,2,1,5,4,0,0,4
venezuela,0,0,0,9,0,4,0,0,0,3
business,1,0,0,2,1,3,3,1,1,3
during,1,0,0,2,0,7,1,0,3,1
global,3,0,2,0,3,0,0,3,3,1
home,2,0,1,0,2,2,2,2,2,2
out,2,0,0,0,2,3,1,1,3,3
supporters,1,0,0,1,0,10,0,1,2,0
venezuelas,7,0,0,1,1,0,0,0,6,0
another,0,3,0,0,1,1,2,0,0,8
duration,0,0,0,0,0,0,3,0,0,12
players,0,0,0,0,0,0,3,0,0,12
account,2,5,0,1,2,0,0,2,2,0
digital,3,0,0,2,3,0,0,3,3,0
one,1,0,0,3,0,3,1,0,5,1
only,3,0,0,0,6,1,1,0,2,1
opinion,3,0,0,2,3,0,0,3,3,0
policy,2,2,0,1,2,1,1,2,2,1
protest,2,0,0,1,2,4,0,4,0,1
would,4,0,0,2,0,0,2,0,3,3
arabic,0,0,0,2,0,4,4,0,0,4
china,0,0,0,4,0,3,4,0,0,3
himself,0,0,0,5,1,4,1,0,1,2
trump,0,0,0,10,0,0,0,0,1,3
man,1,0,0,0,1,8,0,0,3,0
india,0,0,0,4,0,3,3,0,0,3
official,0,0,0,7,0,1,1,0,0,4
last,0,0,0,0,3,3,0,0,3,4
archive,3,0,0,0,3,0,0,3,3,0
called,3,0,0,1,0,3,1,0,1,3
codes,3,0,0,0,3,0,0,3,3,0
contribute,3,0,0,0,3,0,0,3,3,0
design,1,0,0,2,1,2,2,1,1,2
development,3,0,0,0,3,0,0,3,3,0
discount,3,0,0,0,3,0,0,3,3,0
fashion,1,0,0,2,1,2,2,1,1,2
fitness,1,0,0,2,1,2,2,1,1,2
going,1,0,0,0,4,4,0,0,0,3
inside,1,0,0,0,1,4,2,1,1,2
power,4,0,0,0,0,2,2,1,1,2
protesters,3,3,0,0,0,6,0,0,0,0
read,2,2,0,2,2,2,1,0,0,1
subscribe,3,0,0,0,3,0,0,3,3,0
take,1,0,0,4,1,2,0,1,0,3
told,1,0,0,1,1,5,0,0,0,4
view,1,0,2,0,1,1,1,1,1,4
sci-tech,0,0,12,0,0,0,0,0,0,0
interim,0,0,0,3,1,3,1,1,2,1
features,0,0,0,0,0,4,4,0,0,4
invalid,0,0,0,0,0,4,4,0,0,4
property,0,0,0,0,0,4,4,0,0,4
removing,0,0,0,0,0,4,4,0,0,4
aid,2,3,2,0,1,3,0,0,0,0
back,3,0,0,0,2,2,0,2,2,0
country,3,0,0,3,0,0,0,0,3,2
including,1,0,0,3,1,1,3,0,2,0
now,3,0,0,1,2,0,0,0,4,1
order,2,0,0,5,0,0,0,0,2,2
recognized,1,0,0,2,2,4,1,0,0,1
show,2,0,0,0,2,5,0,1,1,0
streets,1,1,0,1,0,4,0,1,1,2
were,1,0,0,0,0,4,2,0,3,1
call,0,2,0,1,0,5,1,0,1,1
february,0,1,0,0,0,10,0,0,0,0
assembly,0,0,0,4,0,6,0,0,1,0
can,0,0,0,3,1,0,1,0,2,4
diplomatic,0,0,0,10,0,1,0,0,0,0
play,0,0,0,2,0,3,2,1,1,2
politics,0,0,0,2,0,3,3,0,0,3
watch,0,0,0,0,0,2,3,0,0,6
feb,2,1,0,0,2,1,0,2,2,0
first,2,0,0,2,1,2,0,1,1,1
golf,1,0,0,0,1,2,2,1,1,2
hugo,1,0,0,0,1,4,0,0,4,0
into,1,1,0,0,2,3,1,0,1,1
newsletters,1,0,0,3,1,1,1,1,1,1
privacy,1,2,0,1,1,1,1,1,1,1
rally,3,0,0,0,0,7,0,0,0,0
rights,1,1,0,1,1,0,3,1,1,1
rugby,1,0,0,0,1,2,2,1,1,2
tennis,1,0,0,0,1,2,2,1,1,2
terms,1,2,0,1,1,1,1,1,1,1
want,8,0,0,0,1,0,0,0,0,1
get,0,1,0,2,0,3,1,0,1,2
password,0,10,0,0,0,0,0,0,0,0
election,0,0,0,2,0,2,2,0,1,3
longer,0,0,0,2,0,3,2,0,1,2
